gene,FC,neg_log_10_padj,padj
Gm47445,1,0,1
Gm17767,1,0,1
Gm48236,1,0,1
4933406C10Rik,1,0,1
Sh2b2,1,0,1
Slc15a3,1,0,1
Bhlhe41,1,0,1
A630091E08Rik,1,0,1
Bcar3,1,0,1
Il18rap,1,0,1
Ptgs1,1,0,1
Klhl33,1,0,1
Klf4,1,0,1
A930007I19Rik,1,0,1
Adam8,1,0,1
Arg1,1,0,1
Gna15,1,0,1
Gm16201,1,0,1
Prkar1b,1,0,1
Cass4,1,0,1
Fcgr2b,1,0,1
Batf3,1,0,1
Gm44103,1,0,1
Eps8,1,0,1
Gm8221,1,0,1
4833419F23Rik,1,0,1
Tmcc2,1,0,1
Tmem26,1,0,1
Lurap1,1,0,1
Rnf24,1,0,1
Nrp2,1,0,1
Trgc4,1,0,1
Adgrl2,1,0,1
Kcnk5,1,0,1
Slc2a6,1,0,1
Eaf2,1,0,1
F10,1,0,1
Chst11,1,0,1
Hacd1,1,0,1
Gm6566,1,0,1
Cyp7b1,1,0,1
Kynu,1,0,1
Srl,1,0,1
Kmo,1,0,1
Dhrs3,1,0,1
Snx8,1,0,1
Trgj4,1,0,1
Rgl1,1,0,1
Gfi1b,1,0,1
Pcyox1l,1,0,1
Plbd1,1,0,1
Plac8,1,0,1
Gm31718,1,0,1
Naip6,1,0,1
Dbndd2,1,0,1
Plscr1,1,0,1
Lilr4b,1,0,1
Hk2,1,0,1
Kif1a,1,0,1
Gm16982,1,0,1
Sct,1,0,1
Rab44,1,0,1
Akap7,1,0,1
H2-DMb1,1,0,1
Plcd3,1,0,1
Fbln2,1,0,1
Ccl2,1,0,1
Gm17764,1,0,1
Cd40,1,0,1
BC035044,1,0,1
Clec10a,1,0,1
Gm28942,1,0,1
Trgv2,1,0,1
Kcnn3,1,0,1
Fam43a,1,0,1
Spry4,1,0,1
Ifi204,1,0,1
Clec7a,1,0,1
Rasgef1b,1,0,1
Lima1,1,0,1
Gcnt1,1,0,1
Lilra6,1,0,1
Morrbid,1,0,1
Tnfrsf21,1,0,1
Trim30c,1,0,1
Gm4279,1,0,1
Scn4a,1,0,1
Kifc3,1,0,1
Fcer2a,1,0,1
Havcr2,1,0,1
Hfe,1,0,1
Itsn1,1,0,1
Tlr4,1,0,1
Mtfp1,1,0,1
Cercam,1,0,1
Gm33424,1,0,1
Ffar1,1,0,1
Gm47828,1,0,1
Clec5a,1,0,1
Siglecg,1,0,1
Gvin1,1,0,1
Tiam1,1,0,1
Tsga10,1,0,1
I830077J02Rik,1,0,1
Gm43621,1,0,1
Zc3h12c,1,0,1
Gm37881,1,0,1
Hk3,1,0,1
Fgr,1,0,1
Tcf7l2,1,0,1
Trem2,1,0,1
Il5ra,1,0,1
Kif9,1,0,1
Wdfy4,1,0,1
Bsn,1,0,1
Lacc1,1,0,1
Tlr8,1,0,1
Gm4258,1,0,1
Ell2,1,0,1
Fcrl5,1,0,1
Gm4070,1,0,1
Csf2rb,1,0,1
0610040J01Rik,1,0,1
1700027J07Rik,1,0,1
2010016I18Rik,0.584,2.989,0.001025652
2610035D17Rik,0.856,0.505,0.312607937
4930471E19Rik,1,0,1
A530010L16Rik,1,0,1
Abi3,0.546,1.437,0.036559479
Adgre4,1,0,1
Agfg2,0.509,0.835,0.146217717
AI837181,0.66,0.867,0.135831345
AI839979,1,0,1
Ankrd13d,0.731,0.602,0.250034536
Apol7e,0.555,1.97,0.010715193
Apol9b,1,0,1
Arhgap9,0.558,1.236,0.058076442
Arhgef18,0.56,2.436,0.003664376
Arl11,1,0,1
Arrb2,0.468,2.445,0.003589219
Arsi,1,0,1
Atf7ip,0.659,2.34,0.004570882
Atp10d,0.718,1.407,0.039174188
Atp1b1,0.513,2.606,0.002477422
B3gnt8,1,0,1
Bambi-ps1,0.221,1.651,0.022335722
Btbd11,0.585,0.68,0.208929613
C5ar1,1,0,1
CAAA01098150.1,1,0,1
Card11,0.674,2.093,0.00807235
Card19,0.414,1.39,0.040738028
Casp2,0.82,0.917,0.121059813
Ccm2,0.617,3.889,0.000129122
Ccng2,0.524,2.047,0.008974288
Ccpg1,0.674,0.726,0.187931682
Cd27,0.334,2.243,0.005714786
Cdh24,0.42,1.249,0.056363766
Cep164,0.68,2.367,0.004295364
Cir1,0.453,3.396,0.000401791
Clec4e,1,0,1
Cpm,0.248,2.985,0.001035142
Ctdsp1,0.967,0.165,0.683911647
Ctdsp2,0.658,0.988,0.10280163
Ctdspl,1,0,1
Cxxc5,1,0,1
Cyp27a1,1,0,1
Cyp2s1,0.457,1.154,0.07014553
D830025C05Rik,0.868,0.237,0.579428696
Ddah2,1,0,1
Ddit4,0.121,2.847,0.001422329
Dennd3,0.644,0.713,0.193642196
Dennd6a,0.914,0.203,0.626613865
Dtx1,0.059,5.059,8.73E-06
Dubr,0.63,1.911,0.012274392
Dyrk1b,0.624,1.181,0.06591739
Edaradd,1,0,1
Efcab5,1,0,1
Emp3,0.405,4.073,8.45E-05
Ero1lb,0.788,0.364,0.432513831
Eya2,0.354,1.823,0.01503142
F3,1,0,1
F630028O10Rik,1,0,1
Fam107b,0.579,2.895,0.001273503
Fam167a,1,0,1
Fam187b,1,0,1
Fzd1,1,0,1
Galnt10,0.623,1.453,0.035237087
Gdpd3,1,0,1
Gfod1,1,0,1
Gm10720,0.905,0.103,0.788860118
Gm11346,0.656,2.376,0.004207266
Gm11766,0.57,0.679,0.209411246
Gm12346,1,0,1
Gm13369,0.407,1.819,0.015170504
Gm15417,1,0,1
Gm15922,1,0,1
Gm16587,1,0,1
Gm20531,0.66,1.886,0.013001696
Gm26642,1,0,1
Gm27201,0.825,0.38,0.416869383
Gm37058,1,0,1
Gm38244,0.615,3.205,0.000623735
Gm42646,0.331,3.344,0.000452898
Gm43221,1,0,1
Gm43388,1,0,1
Gm43637,1,0,1
Gm47135,1,0,1
Gm4814,1,0,1
Gm49588,1,0,1
Gm9967,0.818,0.306,0.494310687
Gpr137b,1,0,1
Gpr83,0.794,0.376,0.420726628
Grk2,0.783,1.442,0.036140986
Gtf2ird2,0.668,1.313,0.048640721
H2bc6,0.966,0.061,0.868960429
Hbp1,0.813,0.75,0.177827941
Hck,1,0,1
Hdac7,0.691,1.355,0.044157045
Heg1,0.418,3.97,0.000107152
Hlcs,0.926,0.272,0.534564359
Hs3st1,1,0,1
Iffo1,0.905,0.377,0.419758984
Ifit1bl1,0.618,1.393,0.040457589
Ighg3,1,0,1
Ighv1-50,1,0,1
Il16,0.689,3.201,0.000629506
Il17ra,0.915,0.358,0.438530698
Ip6k3,1,0,1
Irak2,0.644,1.035,0.092257143
Irgc1,0.285,1.016,0.096382902
Itga4,0.813,1.71,0.019498446
Itgal,0.776,1.691,0.020370421
Kif21b,0.528,3.402,0.000396278
Klhl6,0.657,2.178,0.006637431
Kmt2a,0.84,1.263,0.054575786
Lbh,0.717,1.638,0.023014418
Ldlrap1,0.369,3.417,0.000382825
Lyl1,1,0,1
Lysmd2,0.605,0.5,0.316227766
Map4k4,0.616,2.189,0.006471426
Mfsd7a,1,0,1
Mib2,0.706,1.034,0.092469817
Mid1ip1,0.755,0.373,0.423642966
Mrtfa,0.996,0.009,0.979489985
Mta3,0.748,0.928,0.118032064
Mxd4,0.494,1.331,0.046665938
Myb,0.276,1.339,0.045814189
Myo1f,0.905,0.127,0.746448758
Ncmap,0.196,4.797,1.60E-05
Neat1,0.648,1.99,0.01023293
Nfam1,0.627,0.531,0.294442163
Nfatc1,0.701,2.686,0.00206063
Nfatc2,0.565,1.275,0.053088444
Nhsl2,1,0,1
Nxpe1-ps,1,0,1
Nxpe4,1,0,1
Padi2,0.378,2.739,0.001823896
Pde7a,0.31,2.211,0.006151769
Phxr4,0.399,2.777,0.001671091
Pitpnm1,0.581,3.47,0.000338844
Plaur,0.283,0.986,0.103276141
Plekhg3,1,0,1
Plxna4os1,1,0,1
Pnpla7,0.602,1.553,0.027989813
Ppl,1,0,1
Prr33,0.455,0.651,0.223357222
Pstpip1,0.892,0.449,0.355631319
Ptafr,1,0,1
Qprt,0.446,1.212,0.061376201
Qrfp,1,0,1
Rab30,1,0,1
Rab3ip,0.528,3.218,0.000605341
Rab7b,1,0,1
Rap1gap2,1,0,1
Rapgef4,0.674,1.608,0.024660393
Rapgef4os2,0.257,0.791,0.161808004
Rarg,0.394,1.748,0.017864876
Rasgrp2,0.244,1.718,0.019142559
Rassf4,1,0,1
Rbm47,1,0,1
Retreg1,0.477,2.011,0.009749896
Rgs2,0.522,1.52,0.030199517
Rhobtb1,1,0,1
Rps6ka1,0.484,3.353,0.000443609
S100a10,0.367,6.484,3.28E-07
S1pr5,1,0,1
Sesn1,0.418,1.88,0.013182567
Sgk1,0.225,4.103,7.89E-05
Sgms2,1,0,1
Sh2d3c,0.666,1.957,0.011040786
Sipa1l2,0.473,1.621,0.023933158
Slc12a6,0.738,0.841,0.144211535
Slc43a2,0.288,2.201,0.006295062
Slc45a3,1,0,1
Smad3,0.427,2.912,0.001224616
Smad4,0.661,1.583,0.026121614
Snx20,0.594,1.792,0.016143586
Spata13,0.579,1.927,0.011830416
Spib,1,0,1
Spn,0.383,5.267,5.41E-06
Stard8,1,0,1
Stk10,0.622,1.455,0.035075187
Synpo,1,0,1
Tbl1xr1,0.636,1.606,0.024774221
Tcf7,0.403,3.458,0.000348337
Tdrp,0.36,1.968,0.010764652
Themis2,1,0,1
Tifa,1,0,1
Tlr13,1,0,1
Tmcc3,0.792,0.297,0.504661298
Tmco6,0.55,1.275,0.053088444
Tnfaip8l2,0.478,2.341,0.004560369
Tpcn1,0.423,2.837,0.001455459
Traj18,0.417,3.541,0.00028774
Trav7-4,0.547,0.882,0.13121999
Treml4,1,0,1
Trp53inp1,0.684,2.381,0.004159106
Tubb2a,0.317,3.382,0.000414954
Unc119b,0.61,0.892,0.128233058
Vamp5,0.858,0.602,0.250034536
Wnt6,1,0,1
Zbtb42,0.588,0.843,0.143548943
Zbtb7b,0.4,1.418,0.038194427
Inpp5k,0.926,0.495,0.319889511
Tspan32,0.593,3.322,0.000476431
Zfp36l2,0.246,2.963,0.00108893
Fxyd5,0.51,3.41,0.000389045
Slc15a4,1.005,0.039,0.914113241
Susd3,0.679,1.388,0.040926066
Runx3,0.676,0.886,0.130016958
Ccser2,0.597,0.776,0.167494288
Rere,0.898,0.431,0.370680722
Rnf144a,0.232,4.617,2.42E-05
Fcrla,1,0,1
5830408C22Rik,0.547,0.965,0.108392691
Calhm2,0.763,1.024,0.094623716
Fam214a,0.654,0.75,0.177827941
Klhl24,0.736,0.673,0.212324446
Atp2b4,1,0,1
Mknk2,0.879,0.38,0.416869383
Sun2,0.632,1.082,0.082794216
Usf1,1.016,0.074,0.843334758
Mfsd6,0.568,1.209,0.06180164
Hhex,1,0,1
Oxr1,0.794,0.702,0.198609492
Tbxa2r,0.369,2.341,0.004560369
Frat1,0.792,1.21,0.0616595
Stim1,0.51,2.671,0.002133045
Trem3,1,0,1
Slc8b1,0.81,0.256,0.554625713
Tbx21,1,0,1
Ampd3,0.413,1.195,0.063826349
Atp13a2,0.404,2.274,0.005321083
Atg13,0.948,0.339,0.458141887
Myadm,1,0,1
Lrrc8a,0.661,1.156,0.06982324
Tmem51,1,0,1
Atxn7l1,0.869,0.781,0.165576996
Lpcat4,0.312,2.047,0.008974288
Dcaf12,0.844,0.8,0.158489319
Sit1,0.517,3.289,0.000514044
Zfp467,0.411,2.185,0.006531306
Akna,0.542,1.935,0.011614486
Crebrf,0.78,0.648,0.224905461
Pias3,0.642,0.982,0.104231743
Sesn3,1.046,0.307,0.493173804
Ramp1,0.429,3.42,0.000380189
Grk6,0.721,2.451,0.003539973
Gm15261,1,0,1
Ssbp3,0.448,4.004,9.91E-05
Gpr137b-ps,0.748,0.932,0.116949939
Ltb,0.555,1.739,0.018238957
Gm47087,0.458,1.629,0.023496328
Ppp6r2,0.667,1.027,0.093972331
Arl5c,0.182,2.083,0.008260379
F730311O21Rik,0.644,0.13,0.741310241
Map3k5,1.058,0.01,0.977237221
Trim35,0.875,0.446,0.358096437
Vamp1,0.593,1.87,0.013489629
Gm20605,0.835,0.604,0.248885732
Gucd1,0.424,4.657,2.20E-05
Zfp760,0.838,0.271,0.535796658
Mast4,0.907,0.213,0.612350392
Neurl3,1.063,0.176,0.666806769
Chst12,0.839,0.392,0.405508535
Pcnx,0.76,0.953,0.111429453
Tle3,0.69,0.75,0.177827941
Abhd17a,0.828,0.91,0.123026877
Rnf166,0.487,2.596,0.002535129
Gm15411,1,0,1
D130062J10Rik,1,0,1
Apobec1,1.075,0.015,0.966050879
Arhgap45,0.708,2.236,0.005807644
Cblb,0.915,0.474,0.335737614
Fcgr4,1,0,1
Orai2,0.51,1.886,0.013001696
Ssh2,0.802,1.327,0.047097733
Zmiz1,0.919,0.285,0.518800039
Pex11g,0.471,1.127,0.074644876
Prxl2c,0.505,1.983,0.010399202
Degs1,0.713,1.865,0.013645831
Frmd8,0.491,3.009,0.00097949
Ube4b,0.606,0.716,0.192309173
Zfyve1,1.082,0.134,0.734513868
Nol4l,1,0,1
Fam111a,0.545,2.428,0.003732502
Prrc2b,0.684,2.823,0.001503142
Tcp11l2,1.011,0.053,0.88511561
Gm45606,0.378,1.603,0.024945947
Ccr7,0.576,3.007,0.000984011
Fbxo25,0.822,0.657,0.220292646
Pip4k2a,0.885,0.353,0.443608644
Smpd1,0.819,0.831,0.147570653
Fam149b,0.82,0.999,0.100230524
Id3,0.059,2.495,0.003198895
Psme2b,0.641,1.288,0.051522864
Lzts2,1,0,1
Ahdc1,0.396,1.523,0.029991625
Mocs1,0.942,0.094,0.805378441
Traf4,0.423,2.016,0.00963829
Dgka,0.529,5.641,2.29E-06
Gse1,0.992,0.002,0.995405417
Trim34a,1.104,0.731,0.185780446
Ttyh3,0.466,3.074,0.000843335
Ralbp1,0.508,3.026,0.00094189
Slc28a2,0.884,0.86,0.138038426
Herpud2,0.44,3.008,0.000981748
Jade2,1.11,0.431,0.370680722
Anapc2,0.698,0.953,0.111429453
Znrf1,0.92,0.323,0.475335226
Cmtm7,0.551,1.293,0.050933087
Iglv3,1,0,1
Emc9,0.885,0.337,0.460256574
Smc4,0.584,3.379,0.00041783
Rnf115,0.459,1.216,0.0608135
Vrk2,1.029,0.077,0.837529282
Klf2,0.505,1.966,0.01081434
Prkab2,0.971,0.037,0.918332596
Tiam2,1,0,1
Crat,0.479,1.965,0.010839269
Gm37474,0.865,0.585,0.260015956
Arhgef12,0.87,0.168,0.679203633
Paqr7,0.362,2.883,0.001309182
Crip1,0.487,1.763,0.017258379
Gm21738,1.062,0.224,0.597035287
Slc44a2,1.065,0.639,0.229614865
Akap13,0.975,0.221,0.601173737
Atp1a3,1,0,1
Abr,0.499,3.173,0.000671429
Usp3,1.081,1.035,0.092257143
Tmc6,0.722,2.779,0.001663413
Chst10,0.421,1.922,0.011967405
Dock8,0.874,0.975,0.105925373
Bcr,0.728,0.843,0.143548943
Xpc,1.098,0.59,0.257039578
Gm44135,1,0,1
Mxi1,0.315,4.077,8.38E-05
Cbfa2t3,1,0,1
Vps37b,0.51,3.221,0.000601174
Kit,1,0,1
Id2,0.5,2.271,0.005357967
6430548M08Rik,1,0,1
Cdkn2d,0.636,3.035,0.000922571
Cars2,0.697,1.128,0.074473197
Cd5,0.391,2.631,0.002338837
Dnmbp,0.755,0.413,0.386366977
Usp48,0.652,1.139,0.072610596
C130089K02Rik,0.455,1.132,0.073790423
Pcyox1,0.933,0.095,0.803526122
Pdk2,0.607,1.263,0.054575786
Tent5a,0.344,0.848,0.141905752
Tmem229b,0.894,0.674,0.211836114
Fam78a,0.465,4.46,3.47E-05
2810013P06Rik,1.127,0.18,0.660693448
Arhgef39,0.931,0.113,0.770903469
Cd200,0.823,0.293,0.509330871
Glud1,0.722,0.427,0.374110588
Slc5a11,1,0,1
Ccdc88c,1.009,0.04,0.912010839
Ezr,0.834,1.875,0.013335214
E2f2,0.16,6.163,6.87E-07
Mirt1,0.88,0.495,0.319889511
Atg14,0.752,0.507,0.311171634
Gm10384,1,0,1
Ptpn22,0.738,1.36,0.043651583
Sbf1,0.719,0.734,0.184501542
Spry2,1,0,1
Pde6d,0.846,0.381,0.41591061
Cbx6,0.862,0.236,0.580764418
Stradb,0.401,1.184,0.065463617
Setd3,0.626,1.199,0.063241185
Gm10718,1,0.059,0.872971368
Sh3pxd2a,0.602,1.019,0.095719407
Hpcal1,0.592,3.018,0.000959401
Mboat7,0.624,0.68,0.208929613
Zadh2,1,0.025,0.944060876
A630023P12Rik,1.006,0.031,0.931107875
Gm5431,1,0,1
Pgap1,0.548,1.072,0.084722741
Pilra,1,0,1
Irf2bpl,0.386,1.089,0.081470428
Phf1,0.67,1.152,0.070469307
Usp28,0.511,1.766,0.017139573
Gm21188,1,0,1
Rgs3,0.383,1.662,0.021777098
Gm28053,0.802,0.398,0.39994475
Tmem131l,0.868,1.721,0.019010783
Plekha6,1,0,1
Pycard,0.81,1.035,0.092257143
Sgms1,1.205,1.264,0.054450265
Stom,1,0,1
Cd72,0.536,0.796,0.159955803
Map3k11,0.995,0.001,0.997700064
Ext2,0.771,0.81,0.154881662
Ccs,0.507,3.651,0.000223357
Herc4,0.852,0.535,0.291742701
Slc38a1,0.891,0.828,0.148593564
Lrp1,1,0,1
Pot1b,1.215,0.422,0.378442585
Phf20l1,0.375,1.97,0.010715193
Tpr,0.548,2.482,0.003296097
Aph1c,1,0,1
Idh1,1.006,0.044,0.903649474
Fbxo9,0.793,0.498,0.317687407
Rabgap1l,0.743,1.469,0.033962527
Gltp,0.516,3.268,0.000539511
Rnf41,0.853,0.572,0.267916832
Tfdp2,0.992,0.019,0.957194071
Sephs2,1.209,1.783,0.016481624
Bmf,1,0,1
Cbx7,0.551,2.006,0.009862795
Ccnl2,1.008,0.082,0.827942164
Mcoln1,0.939,0.17,0.676082975
Taf1c,0.846,0.892,0.128233058
Dek,0.731,0.528,0.296483139
Inpp1,0.613,2.136,0.007311391
Lpcat1,0.56,2.28,0.005248075
Ripor2,0.793,1.634,0.023227368
Haus4,0.705,1.028,0.093756201
Ppp1r12c,0.869,0.342,0.45498806
Gm15991,1,0,1
Nr1h3,1.238,0.055,0.881048873
Smagp,1,0,1
9330160F10Rik,0.642,0.532,0.293764965
Cyb5r1,0.947,0.269,0.538269783
Irf8,1.243,0.394,0.403645393
Zfp119b,0.844,0.364,0.432513831
Nsmf,0.436,0.858,0.138675583
Grb7,0.264,0.98,0.104712855
Clec2g,1,0,1
Egln2,0.745,1.018,0.095940063
Rffl,0.869,0.238,0.578096047
Gm48978,0.953,0.138,0.727779805
Arrdc3,0.552,0.541,0.287739841
Msrb2,0.654,1.436,0.036643757
Fcmr,1,0,1
Zswim6,0.666,0.995,0.101157945
Dmac2,1.258,1.267,0.054075432
Nfatc3,0.659,1.484,0.032809529
Pxylp1,0.557,1.554,0.027925438
Rasa4,1.26,0.455,0.350751874
Zbtb2,0.546,2.249,0.005636377
Amz1,0.462,0.819,0.151705037
Pfkfb3,1.083,0.195,0.638263486
Elf4,0.573,1.685,0.020653802
Ptpn21,0.549,1.952,0.011168632
Tmem127,0.992,0.039,0.914113241
Nat8l,1,0,1
Tagln2,0.589,1.964,0.010864256
Cmah,0.615,1.467,0.034119291
Gtf2ird1,0.317,0.945,0.113501082
Nagk,0.811,0.565,0.272270131
Fli1,0.966,0.205,0.623734835
Gm20540,1.269,0.462,0.345143739
Zfp574,0.674,1.128,0.074473197
Cdc14b,0.657,0.98,0.104712855
Nr3c1,0.679,1.12,0.075857758
4632418H02Rik,0.804,0.375,0.421696503
Fbxw4,1.121,0.212,0.613762005
Ppp1r35,0.363,1.353,0.044360864
Rubcn,1.273,1.273,0.05333349
Tgfb1,0.256,1.438,0.036475395
Itpkb,0.611,2.288,0.005152286
Gpcpd1,0.645,2.872,0.001342765
Rb1cc1,0.349,2.075,0.008413951
1810034E14Rik,0.714,1.122,0.075509223
Kdm2b,0.738,0.476,0.33419504
Rbm38,0.545,1.806,0.015631476
Hectd3,0.649,0.721,0.190107828
Faap20,0.714,1.316,0.04830588
Heca,0.882,0.445,0.358921935
Gm27010,1,0,1
Rp9,0.591,1.045,0.090157114
Mbnl2,1.114,0.467,0.341192912
Tmem86a,1,0,1
Inpp5f,0.606,1.736,0.018365383
5530601H04Rik,1.054,0.123,0.753355564
Dnajb14,0.727,0.417,0.382824743
Stx11,1.293,0.351,0.445656248
4930523C07Rik,0.737,1.37,0.042657952
Dnajb2,0.796,0.486,0.326587832
Disp1,1.121,0.306,0.494310687
Tmcc1,0.724,1.05,0.089125094
Tmem151a,1,0,1
Osbpl5,0.848,0.171,0.674528028
Ypel3,0.169,2.528,0.002964831
Fbxl5,0.987,0.049,0.893305484
Zbtb7a,0.484,1.123,0.075335556
Gm26789,0.829,0.402,0.396278034
Psap,0.713,1.031,0.093110788
Cyb561,1,0,1
Gramd1a,0.334,2.845,0.001428894
Ms4a4c,1.18,0.557,0.27733201
Mtmr14,0.426,0.852,0.140604752
Slc49a4,0.79,0.539,0.289067988
Gm20559,1.155,0.685,0.206538016
Pbx2,0.476,1.095,0.080352612
Gm49760,1,0,1
Med30,0.682,0.655,0.221309471
2410006H16Rik,1.043,0.175,0.668343918
Sec24b,0.761,0.648,0.224905461
Gm37488,0.988,0.069,0.853100114
Gfpt1,0.589,1.226,0.059429216
Abca1,0.448,1.28,0.052480746
Card6,0.729,2.153,0.007030723
Limd2,0.554,2.248,0.00564937
Ube3b,0.473,2.131,0.007396053
Adrb2,0.438,2.257,0.005533501
Notch2,0.926,0.341,0.456036916
Adgre5,0.485,1.894,0.012764388
BC037704,1,0,1
Zfp944,1.019,0.065,0.860993752
Clcf1,0.818,1.136,0.073113908
Map1lc3a,0.338,0.979,0.104954243
Prex1,0.722,1.494,0.032062693
Plscr3,0.937,0.173,0.671428853
Eng,0.173,1.366,0.043052661
Kcnn4,0.378,1.508,0.031045596
Sel1l3,1,0,1
Tbc1d10a,0.691,2.578,0.002642409
Calcrl,0.615,0.726,0.187931682
Arid1b,1.018,0.218,0.605340875
Asf1b,0.435,4.423,3.78E-05
Leng9,0.753,0.646,0.225943577
Plekha2,0.777,1.257,0.055335011
Gm11805,1,0,1
Tmed2,0.665,0.862,0.137404198
Ccdc61,0.706,0.58,0.263026799
Dck,0.433,3.329,0.000468813
Dipk1a,0.809,1.073,0.084527885
Polg,0.63,0.718,0.191425593
Tle5,0.663,2.208,0.006194411
Xpa,0.576,0.681,0.208449088
Gm37728,1.102,0.169,0.677641508
Lars2,0.565,2.127,0.007464488
Sfswap,0.639,1.368,0.042854852
Ndfip2,0.73,0.563,0.273526873
Ccdc92,0.226,0.885,0.130316678
Ptpn14,1,0,1
Rassf3,0.394,1.898,0.012647363
Tbcc,0.971,0.174,0.669884609
Tmc8,0.522,3.615,0.000242661
Cers4,0.706,2.495,0.003198895
Rab40c,1.026,0.106,0.783429643
Slc25a27,0.395,1.65,0.022387211
Snip1,1.06,0.284,0.519995997
Plec,0.524,2.325,0.004731513
Csrp1,0.493,3.414,0.000385478
Rfx1,0.479,3.252,0.000559758
Brf1,0.538,2.185,0.006531306
Mrs2,0.742,0.656,0.220800473
Pnrc1,0.187,2.298,0.005035006
Hspbap1,0.755,0.559,0.276057786
Cdyl2,0.509,0.986,0.103276141
Nudt18,0.597,0.737,0.183231442
Srsf11,0.845,0.378,0.418793565
Fam169b,0.938,0.448,0.356451133
Trpc4ap,0.408,1.91,0.012302688
Cpsf4,0.559,2.11,0.007762471
Dclre1b,1.053,0.194,0.639734835
Ppm1m,0.6,0.945,0.113501082
A430035B10Rik,0.751,0.199,0.632411851
Mapk12,1,0,1
Fdft1,1.037,0.04,0.912010839
Rnf145,0.336,2.577,0.0026485
Tedc1,0.647,0.186,0.651628394
A130014A01Rik,0.957,0.03,0.933254301
Acer3,1.045,0.041,0.909913273
Asap1,0.538,1.33,0.046773514
Mlf2,0.417,1.613,0.024378108
Palm,1,0,1
Sipa1,0.383,0.998,0.100461579
Ceacam1,1,0,1
Gba2,0.558,1.708,0.019588447
Abcc5,0.915,0.326,0.472063041
Itgb1,0.373,2.186,0.006516284
Rgl2,0.647,1.918,0.012078138
Slc45a4,0.602,0.777,0.167109061
Adam19,1.213,0.232,0.586138165
Slc25a37,1.355,1.387,0.04102041
Alcam,1,0,1
Cd55,0.537,1.745,0.017988709
Mdm1,0.548,0.487,0.325836701
Pip5k1c,0.856,0.328,0.469894109
Tbcel,0.979,0.087,0.818464788
Cdk2,0.546,3.063,0.000864968
Fiz1,0.767,0.396,0.401790811
Gbp2,1.247,0.626,0.23659197
Gm15564,0.571,1.902,0.012531412
Inafm1,0.515,1.956,0.011066238
N4bp2l1,1.002,0.007,0.984011106
Angpt2,0.648,0.59,0.257039578
Get4,0.532,1.332,0.046558609
Plekhm3,0.54,1,0.1
Btk,1,0,1
L1cam,0.676,0.645,0.226464431
Arhgef1,0.438,1.257,0.055335011
Gnptab,0.887,0.114,0.76913044
Plcl2,1.219,0.34,0.45708819
St3gal1,0.305,2.502,0.003147748
Eva1b,0.454,1.006,0.098627949
Hic1,1,0,1
2010315B03Rik,1.123,0.486,0.326587832
Pygo2,0.546,2.094,0.008053784
Rin3,0.438,2.544,0.002857591
Pole4,0.696,0.618,0.240990543
Adipor1,0.439,1.058,0.087498378
Gm32036,0.555,2.344,0.004528976
Dnajb13,0.716,0.509,0.30974193
Gm37033,0.877,1.347,0.044977985
Cdc25b,0.217,2.264,0.005445027
Gm15675,0.377,1.041,0.090991327
Rgcc,0.601,2.797,0.001595879
Hes1,1,0,1
Dusp2,0.132,1.458,0.034833732
A130071D04Rik,0.985,0.077,0.837529282
Actn1,0.471,1.543,0.02864178
Gm10847,1.19,0.367,0.429536427
Vgll4,0.513,2.237,0.005794287
Ncapd2,0.583,1.725,0.018836491
Xpr1,0.85,0.35,0.446683592
Arhgef10l,1,0,1
Trim14,1.082,0.154,0.701455298
Trim59,0.527,1.614,0.02432204
Ccny,0.501,0.964,0.108642562
S1pr1,0.985,0.125,0.749894209
2210406H18Rik,0.658,0.645,0.226464431
Evi5,1,0,1
Gemin7,0.932,0.21,0.616595002
Gm11342,1,0,1
Gsr,0.375,1.841,0.014421154
Stard5,0.693,1.39,0.040738028
Gpr146,0.818,1.104,0.078704579
Hid1,0.387,2.918,0.001207814
Arap3,1,0,1
Tgfbr2,0.543,0.96,0.10964782
Epn1,0.474,0.782,0.16519618
Itgb7,0.376,1.057,0.087700082
Arfip1,0.843,0.485,0.327340695
Chsy1,1.174,0.209,0.6180164
Mrgpre,1,0,1
Slamf7,1,0,1
Cd6,0.459,4.03,9.33E-05
Zdhhc3,0.662,0.571,0.268534445
Peli1,1.043,0.033,0.926829823
Iscu,0.668,0.558,0.276694165
Ehd4,0.554,1.296,0.050582466
Mx2,1.561,1.05,0.089125094
Hepacam2,1,0,1
Map2k2,0.583,0.697,0.200909281
Prkca,0.389,2.861,0.001377209
Herc6,1.574,1.106,0.078342964
Hsf2,1.159,0.463,0.344349931
Rlf,0.546,1.296,0.050582466
Gnb2,0.359,2.043,0.009057326
Rftn1,0.532,1.059,0.087297137
Esyt1,0.445,1.715,0.019275249
Gm45820,1,0,1
Ube3a,0.383,2.605,0.002483133
Btla,0.891,0.675,0.211348904
Tnfrsf1b,0.934,0.144,0.717794291
Gm49599,0.301,1.519,0.030269134
Castor2,0.512,0.746,0.179473363
Nr4a1,0.662,0.739,0.18238957
Mettl9,0.402,1.327,0.047097733
Ifit2,1.023,0.035,0.922571427
Tmem38b,0.991,0.003,0.993116048
Ephx1,0.588,1.36,0.043651583
Gm37968,1.624,0.988,0.10280163
Rbm17,0.912,0.218,0.605340875
Gga2,0.41,0.978,0.105196187
Yipf4,0.552,0.596,0.253512863
