gene,FC,neg_log_10_padj,padj
Ltbr,0.619,0.027,0.939723311
Agps,0.991,0.027,0.939723311
Ifitm6,0.933,0.025,0.944060876
Il1rn,0.998,0.025,0.944060876
Fpgs,1.048,0.024,0.946237161
Gm36975,0.734,0.024,0.946237161
Gys1,0.84,0.022,0.950604794
C3,0.937,0.02,0.954992586
Rab3il1,1.022,0.019,0.957194071
Pcmt1,1.001,0.019,0.957194071
Gyg,0.966,0.019,0.957194071
Stard4,1.105,0.018,0.959400632
Sestd1,1.793,0.015,0.966050879
Xkr8,0.903,0.015,0.966050879
Tle3,1.001,0.014,0.968277856
Kti12,1.026,0.011,0.974989638
Gcnt2,1.069,0.01,0.977237221
Nfu1,1.011,0.008,0.981747943
Btbd16,1.163,0.007,0.984011106
Spryd3,1.015,0.005,0.988553095
Gpr31c,0.988,0.003,0.993116048
Cd244a,1.168,0.001,0.997700064
Serpina3g,1.35,0,1
Cldn15,1,0,1
Lilrb4a,1,0,1
Wfdc21,1,0,1
Gm13431,1,0,1
Clec4d,1,0,1
Trem3,1,0,1
Serpinb2,1,0,1
Acy3,1,0,1
Slco4c1,1,0,1
Gm20548,1,0,1
Gm16587,1,0,1
Gm13073,1,0,1
Gm19932,1,0,1
Cdkn2b,1,0,1
Gm29291,1,0,1
Gm15261,1,0,1
Atg4c,0.859,0.006,0.986279486
Zfp189,0.981,0.007,0.984011106
Sh3glb1,1.005,0.008,0.981747943
2900005J15Rik,1.176,0.008,0.981747943
Irs3,0.937,0.009,0.979489985
Tarbp1,0.984,0.017,0.961612278
Gm16174,1.157,0.019,0.957194071
Rras2,1.026,0.025,0.944060876
Irgc1,1.03,0.027,0.939723311
Engase,1.086,0.028,0.937562007
Gm10718,1.045,0.033,0.926829823
Gm49802,0.988,0.033,0.926829823
Klf3,1.001,0.034,0.924698174
Il10ra,1.027,0.036,0.920449572
Cbarp,1.003,0.037,0.918332596
Cxcr3,1.293,0.05,0.891250938
Gm43362,1.007,0.05,0.891250938
Etv5,1.149,0.052,0.887156012
Lpcat4,0.913,0.054,0.8830799
Gm43670,1.03,0.06,0.87096359
Gab2,0.747,0.063,0.864967919
Prtg,1.144,0.064,0.862978548
H6pd,1.01,0.065,0.860993752
Myo3b,0.834,0.065,0.860993752
Rab7b,0.891,0.065,0.860993752
Sgk3,1.008,0.067,0.857037845
Msto1,0.962,0.073,0.845278845
Klhl24,0.977,0.077,0.837529282
Csf1,1.794,0.078,0.835603018
Slc38a7,1.022,0.081,0.829850768
Mcmdc2,1.007,0.082,0.827942164
Pdlim2,0.975,0.083,0.82603795
Gm26887,0.933,0.084,0.824138115
Cdc25a,1.04,0.088,0.816582371
Ttyh3,0.962,0.09,0.812830516
Tmem86a,1.176,0.093,0.80723503
Rgl3,1.065,0.095,0.803526122
Fstl1,0.99,0.095,0.803526122
Rps10,0.957,0.098,0.797994687
Trp53inp1,0.978,0.102,0.790678628
P2rx7,0.808,0.111,0.774461798
Jag1,0.742,0.124,0.751622894
Gm16167,1.554,0.125,0.749894209
Slc30a9,1.066,0.126,0.748169501
Ptpn22,0.974,0.128,0.744731974
C030015A19Rik,0.696,0.13,0.741310241
Far2,0.903,0.132,0.73790423
Lrp5,0.806,0.136,0.731139083
Miat,0.881,0.153,0.70307232
Gm37648,0.847,0.155,0.699841996
Hspbap1,1.032,0.157,0.696626514
Kctd12b,0.613,0.163,0.68706844
Sun2,1.036,0.167,0.680769359
Rasgrp3,0.85,0.168,0.679203633
Trib2,1.042,0.17,0.676082975
Bhlhe41,1.251,0.174,0.669884609
Clec2i,0.937,0.176,0.666806769
Dusp6,0.883,0.181,0.659173895
Mks1,0.929,0.181,0.659173895
D430018E03Rik,0.81,0.181,0.659173895
Rpia,0.995,0.187,0.65012969
Ndrg1,0.655,0.195,0.638263486
Gm7061,1.221,0.203,0.626613865
Atm,0.916,0.205,0.623734835
Trpm2,1.64,0.212,0.613762005
Bri3,0.704,0.213,0.612350392
Fnip2,1.349,0.219,0.603948629
Kmt5c,1.14,0.224,0.597035287
Samd4b,1.154,0.225,0.595662144
Nisch,0.966,0.227,0.592925325
Rcor3,0.8,0.228,0.591561634
Cnpy4,1.045,0.23,0.588843655
Rpl18,1.083,0.232,0.586138165
Pask,0.738,0.232,0.586138165
Natd1,0.841,0.239,0.576766463
Stard9,0.987,0.25,0.562341325
Fam13a,1.489,0.254,0.557185749
Plxna4os1,1.533,0.259,0.550807696
Cd300a,0.511,0.26,0.549540874
Kif3c,0.831,0.265,0.543250331
Impa2,1.278,0.266,0.54200089
4930599N24Rik,0.744,0.266,0.54200089
Arhgap17,0.859,0.267,0.540754323
Zbtb24,0.918,0.27,0.537031796
Zfp36l2,1.098,0.273,0.533334895
Zfp74,0.801,0.273,0.533334895
Neurl3,0.809,0.285,0.518800039
Hhex,1.145,0.287,0.516416369
Mpp2,1.809,0.291,0.511681836
Fn3krp,0.789,0.291,0.511681836
Gm20300,0.766,0.294,0.508159443
Ccdc189,0.545,0.317,0.481947798
P2ry14,0.841,0.326,0.472063041
Acta2,0.61,0.326,0.472063041
Ptpre,1.088,0.329,0.468813382
Ccng2,0.85,0.333,0.464515275
Gm10132,0.947,0.336,0.461317575
Tsc22d1,0.741,0.34,0.45708819
Cyp2ab1,0.391,0.348,0.44874539
Gm13684,1.516,0.35,0.446683592
Mettl7a1,1.241,0.354,0.442588372
Bid,1.214,0.355,0.441570447
Top3a,1.109,0.36,0.436515832
Sephs2,1.183,0.371,0.425598413
Opn3,1.795,0.374,0.422668614
Bmp2,1.53,0.374,0.422668614
Lims2,1.53,0.374,0.422668614
Dyrk3,2.325,0.374,0.422668614
Dtl,1.382,0.384,0.413047502
Hbp1,0.942,0.394,0.403645393
Tpm1,0.884,0.411,0.388150366
Trp53i13,0.834,0.416,0.383707245
Scnn1a,0.601,0.426,0.374973002
Abca6,0.687,0.427,0.374110588
Zfp385a,0.741,0.427,0.374110588
Ffar4,0.814,0.427,0.374110588
Mmp25,0.422,0.427,0.374110588
Msh5,0.987,0.428,0.373250158
Xpc,0.859,0.436,0.366437575
Susd3,1.212,0.44,0.363078055
Ermard,0.803,0.44,0.363078055
Sgms1,1.044,0.445,0.358921935
Gm42559,1.309,0.451,0.353997341
Il31ra,0.48,0.455,0.350751874
Osbpl2,1.091,0.464,0.343557948
Krba1,0.843,0.472,0.337287309
Zfp219,0.572,0.475,0.334965439
Irak3,0.436,0.476,0.33419504
Crebrf,0.914,0.477,0.333426413
Fbxo32,0.762,0.483,0.328851631
Slc25a33,0.526,0.488,0.325087297
Lpar5,0.841,0.493,0.321366054
Msrb1,0.761,0.494,0.320626932
Casp3,0.701,0.497,0.318419752
Tiam2,0.507,0.5,0.316227766
E2f1,1.651,0.509,0.30974193
Zmiz1,0.783,0.524,0.299226464
Mbd4,1.516,0.526,0.297851643
Kif18a,1.632,0.528,0.296483139
Il6st,1.262,0.529,0.295801247
Arrdc3,0.694,0.552,0.280543364
Echdc1,1.239,0.556,0.277971327
Zbtb39,0.6,0.56,0.27542287
Klf2,0.85,0.565,0.272270131
Entpd7,0.699,0.568,0.270395836
Rps19-ps6,0.83,0.569,0.269773943
Tmem38a,0.489,0.569,0.269773943
Gm48706,0.531,0.571,0.268534445
Rwdd2a,1.866,0.572,0.267916832
Rfx5,1.241,0.573,0.267300641
Rusc2,0.557,0.573,0.267300641
1500011B03Rik,0.835,0.588,0.258226019
Gm15334,2.201,0.605,0.248313311
Racgap1,0.671,0.605,0.248313311
Dipk1a,0.851,0.614,0.243220401
Pdlim1,0.918,0.624,0.237684029
Sbk1,0.663,0.636,0.231206479
Mms19,1.206,0.637,0.230674719
Cbx8,0.734,0.637,0.230674719
Ttc25,0.719,0.639,0.229614865
Pex5,0.719,0.64,0.229086765
